,REVENUE,HWT_SUBSCRIBER,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CUSTOMER_SERVICE_TICKETS_CNT,PRODUCT_CATEGORIES_VIEWED,SITE_VISIT_TIME_PER_VISIT_AVG,MOBILE_NUMBER,MEALS_CANCEL_BEFORE_NOON,MEALS_CANCEL_AFTER_NOON,SPECIFIED_TASTE_AND_PREFERENCES,PC_LOGINS_CNT,MOBILE_LOGINS_CNT,WEEKS_SUBSCRIBED_TO_WEEKLY_PLAN_CNT,ORDERS_DELIVERED_BEFORE_DELIVERY_CNT,ORDERS_DELIVERED_AFTER_DELIVERY_CNT,PACKAGE_ROOM_AT_CUSTOMER,FRIDGE_LOCKER_IN_PACKAGE_ROOM,PRCNT_FOLLOWED_MEAL_RECOM_WEB_MOBILE,SECONDS_WATCHING_PREP_VID_AVG,LARGEST_ORDER_SIZE,MASTER_CLASSES_ATTENDED_CNT,MEAL_RATING_MEDIAN,SITE_CLICKS_PER_VISIT_AVG,PHOTOS_VIEWED_COUNT,missing_FAMILY_NAME,fe_MEAL_CHOICE_SPECIFICITY,fe_SITE_CLICK_RATE,fe_SUBSCRIPTIONS_SYNERGY,flag_WEEKS_SUBSCRIBED_TO_WEEKLY_PLAN_CNT_lo,out_SITE_VISIT_TIME_PER_VISIT_AVG_hi,out_SECONDS_WATCHING_PREP_VID_AVG_lo,out_PRCNT_FOLLOWED_MEAL_RECOM_WEB_MOBILE_hi,flag_SECONDS_WATCHING_PREP_VID_AVG_hi,flag_SECONDS_WATCHING_PREP_VID_AVG_lo,flag_SITE_VISIT_TIME_PER_VISIT_AVG_hi,flag_SITE_VISIT_TIME_PER_VISIT_AVG_lo,flag_PRCNT_FOLLOWED_MEAL_RECOM_WEB_MOBILE_hi,flag_PRCNT_FOLLOWED_MEAL_RECOM_WEB_MOBILE_lo,out_TOTAL_MEALS_ORDERED_hi,out_UNIQUE_MEALS_PURCH_hi,out_MEALS_CANCEL_BEFORE_NOON_hi,out_MEALS_CANCEL_AFTER_NOON_hi,out_PC_LOGINS_CNT_hi,out_PC_LOGINS_CNT_lo,out_MOBILE_LOGINS_CNT_lo,out_MOBILE_LOGINS_CNT_hi,out_SITE_CLICKS_PER_VISIT_AVG_lo,flag_TOTAL_MEALS_ORDERED_lo,flag_UNIQUE_MEALS_PURCH_lo,flag_CUSTOMER_SERVICE_TICKETS_CNT_lo,flag_CUSTOMER_SERVICE_TICKETS_CNT_hi,flag_PRODUCT_CATEGORIES_VIEWED_lo,flag_PRODUCT_CATEGORIES_VIEWED_hi,flag_ORDERS_DELIVERED_BEFORE_DELIVERY_CNT_lo,flag_ORDERS_DELIVERED_BEFORE_DELIVERY_CNT_hi,flag_ORDERS_DELIVERED_AFTER_DELIVERY_CNT_lo,flag_ORDERS_DELIVERED_AFTER_DELIVERY_CNT_hi,flag_MASTER_CLASSES_ATTENDED_CNT_hi,flag_PHOTOS_VIEWED_COUNT_lo,fe_CUSTOMER_COMPANY_amex,fe_CUSTOMER_COMPANY_aol,fe_CUSTOMER_COMPANY_apple,fe_CUSTOMER_COMPANY_boeing,fe_CUSTOMER_COMPANY_caterpillar,fe_CUSTOMER_COMPANY_chevron,fe_CUSTOMER_COMPANY_cisco,fe_CUSTOMER_COMPANY_cocacola,fe_CUSTOMER_COMPANY_disney,fe_CUSTOMER_COMPANY_dupont,fe_CUSTOMER_COMPANY_exxon,fe_CUSTOMER_COMPANY_ge,fe_CUSTOMER_COMPANY_gmail,fe_CUSTOMER_COMPANY_goldmansacs,fe_CUSTOMER_COMPANY_homedepot,fe_CUSTOMER_COMPANY_hotmail,fe_CUSTOMER_COMPANY_ibm,fe_CUSTOMER_COMPANY_intel,fe_CUSTOMER_COMPANY_jnj,fe_CUSTOMER_COMPANY_jpmorgan,fe_CUSTOMER_COMPANY_live,fe_CUSTOMER_COMPANY_mcdonalds,fe_CUSTOMER_COMPANY_me,fe_CUSTOMER_COMPANY_merck,fe_CUSTOMER_COMPANY_microsoft,fe_CUSTOMER_COMPANY_mmm,fe_CUSTOMER_COMPANY_msn,fe_CUSTOMER_COMPANY_nike,fe_CUSTOMER_COMPANY_passport,fe_CUSTOMER_COMPANY_pfizer,fe_CUSTOMER_COMPANY_pg,fe_CUSTOMER_COMPANY_protonmail,fe_CUSTOMER_COMPANY_travelers,fe_CUSTOMER_COMPANY_unitedhealth,fe_CUSTOMER_COMPANY_unitedtech,fe_CUSTOMER_COMPANY_verizon,fe_CUSTOMER_COMPANY_visa,fe_CUSTOMER_COMPANY_walmart,fe_CUSTOMER_COMPANY_yahoo,fe_CUSTOMER_DOMAIN_for_proft_domain,fe_CUSTOMER_DOMAIN_junk_domain,fe_CUSTOMER_DOMAIN_personal_domain,fe_CUSTOMER_DOMAIN_professional_domain
0,1880.0,1,118,4,7,5,86.0,1,2,1,0,6,2,8,0,2,1,0,90.0,165.8,6,1,3,11,0,0,0.03389830508474576,0.12790697674418605,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1495.0,1,44,3,6,3,125.6,1,0,1,0,6,1,8,0,4,1,0,90.0,150.5,4,1,3,13,90,0,0.06818181818181818,0.1035031847133758,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2572.5,1,38,1,5,3,58.0,1,5,0,1,6,2,14,0,0,0,0,80.0,99.6,3,0,3,12,0,0,0.02631578947368421,0.20689655172413793,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1647.0,1,76,3,8,10,45.51,0,3,0,1,6,1,11,5,4,0,0,90.0,125.0,3,0,3,13,0,0,0.039473684210526314,0.2856515051637003,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1923.0,1,65,3,6,9,106.0,1,1,1,0,6,2,12,0,4,1,0,90.0,135.3,3,1,3,13,253,0,0.046153846153846156,0.12264150943396226,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1250.0,1,57,4,6,2,84.21,1,0,0,1,5,1,10,2,5,0,0,70.0,91.2,3,1,2,17,0,0,0.07017543859649122,0.2018762617266358,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,4665.0,1,106,3,10,8,110.0,1,3,0,0,6,2,7,0,3,0,0,70.0,263.3,6,2,4,10,705,0,0.02830188679245283,0.09090909090909091,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1690.0,1,122,6,8,10,92.73,1,1,0,1,5,1,8,0,3,0,0,70.0,160.0,5,1,3,13,0,0,0.04918032786885246,0.14019195513857435,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8,1710.0,1,46,4,5,10,170.47,1,0,0,1,6,2,8,4,10,1,1,70.0,170.1,4,2,3,12,0,0,0.08695652173913043,0.07039361764533349,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1770.0,1,58,4,6,5,79.58,1,0,1,1,6,2,2,3,7,1,1,90.0,191.3,7,1,3,12,0,0,0.06896551724137931,0.15079165619502388,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
