,REVENUE,HWT_SUBSCRIBER,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CUSTOMER_SERVICE_TICKETS_CNT,PRODUCT_CATEGORIES_VIEWED,SITE_VISIT_TIME_PER_VISIT_AVG,MOBILE_REGISTRATION,MEALS_CANCEL_BEFORE_NOON,MEALS_CANCEL_AFTER_NOON,SPECIFIED_TASTE_AND_PREFERENCES,PC_LOGINS_CNT,MOBILE_LOGINS_CNT,WEEKS_SUBSCRIBED_TO_WEEKLY_PLAN_CNT,ORDERS_DELIVERED_BEFORE_DELIVERY_CNT,ORDERS_DELIVERED_AFTER_DELIVERY_CNT,PACKAGE_ROOM_AT_CUSTOMER,FRIDGE_LOCKER_IN_PACKAGE_ROOM,PRCNT_FOLLOWED_MEAL_RECOM_WEB_MOBILE,SECONDS_WATCHING_PREP_VID_AVG,LARGEST_ORDER_SIZE,MASTER_CLASSES_ATTENDED_CNT,MEAL_RATING_MEDIAN,SITE_CLICKS_PER_VISIT_AVG,PHOTOS_VIEWED_COUNT,missing_FAMILY_NAME,fe_MEAL_CHOICE_SPECIFICITY,fe_SITE_CLICK_RATE,fe_SUBSCRIPTIONS_SYNERGY,fe_CUSTOMER_COMPANY,fe_CUSTOMER_DOMAIN,fe_ONLY_HWT_CUSTOMER,fe_WP_INACTIVE_SUB,fe_WP_BASIC_SUB,fe_WP_PREMIUM_SUB
0,1880.0,1,118,4,7,5,86.0,1,2,1,0,6,2,8,0,2,1,0,90.0,165.8,6,1,3,11,0,0,0.03389830508474576,0.12790697674418605,1,passport,junk_domain,0,1,0,0
1,1495.0,1,44,3,6,3,125.6,1,0,1,0,6,1,8,0,4,1,0,90.0,150.5,4,1,3,13,90,0,0.06818181818181818,0.1035031847133758,1,jnj,professional_domain,0,1,0,0
2,2572.5,1,38,1,5,3,58.0,1,5,0,1,6,2,14,0,0,0,0,80.0,99.6,3,0,3,12,0,0,0.02631578947368421,0.20689655172413796,1,gmail,personal_domain,0,0,1,0
3,1647.0,1,76,3,8,10,45.51,0,3,0,1,6,1,11,5,4,0,0,90.0,125.0,3,0,3,13,0,0,0.03947368421052632,0.2856515051637003,1,ibm,professional_domain,0,1,0,0
4,1923.0,1,65,3,6,9,106.0,1,1,1,0,6,2,12,0,4,1,0,90.0,135.3,3,1,3,13,253,0,0.04615384615384616,0.12264150943396225,1,goldmansacs,professional_domain,0,1,0,0
5,1250.0,1,57,4,6,2,84.21,1,0,0,1,5,1,10,2,5,0,0,70.0,91.2,3,1,2,17,0,0,0.07017543859649122,0.2018762617266358,1,gmail,personal_domain,0,1,0,0
6,4665.0,1,106,3,10,8,110.0,1,3,0,0,6,2,7,0,3,0,0,70.0,263.3,6,2,4,10,705,0,0.02830188679245283,0.09090909090909093,1,homedepot,professional_domain,0,1,0,0
7,1690.0,1,122,6,8,10,92.73,1,1,0,1,5,1,8,0,3,0,0,70.0,160.0,5,1,3,13,0,0,0.049180327868852465,0.14019195513857435,1,yahoo,personal_domain,0,1,0,0
8,1710.0,1,46,4,5,10,170.47,1,0,0,1,6,2,8,4,10,1,1,70.0,170.1,4,2,3,12,0,0,0.08695652173913042,0.07039361764533349,1,caterpillar,professional_domain,0,1,0,0
9,1770.0,1,58,4,6,5,79.58,1,0,1,1,6,2,2,3,7,1,1,90.0,191.3,7,1,3,12,0,0,0.06896551724137931,0.15079165619502388,1,protonmail,personal_domain,0,1,0,0
11,1290.0,1,92,9,3,2,115.51,1,4,0,0,6,1,13,0,0,1,0,80.0,163.3,5,1,2,18,0,0,0.09782608695652174,0.15583066401177387,1,gmail,personal_domain,0,1,0,0
12,4550.0,1,122,3,10,9,134.7,1,0,0,1,6,1,1,0,1,0,0,90.0,204.2,6,1,4,10,250,0,0.024590163934426233,0.07423904974016332,1,yahoo,personal_domain,0,1,0,0
13,1190.0,1,37,4,5,3,31.0,1,0,0,1,5,1,13,2,1,0,0,90.0,128.8,3,1,2,17,0,0,0.10810810810810813,0.5483870967741935,1,gmail,personal_domain,0,0,1,0
14,1425.0,1,50,5,7,8,26.04,1,2,0,0,5,1,13,0,3,0,0,90.0,105.5,2,0,2,18,0,0,0.1,0.6912442396313364,1,gmail,personal_domain,0,0,0,1
15,1860.0,1,80,3,6,1,102.2,1,2,0,1,6,2,9,0,4,0,0,90.0,121.2,4,0,3,12,0,0,0.0375,0.11741682974559685,1,passport,junk_domain,0,1,0,0
16,2662.5,1,91,5,9,10,67.5,1,2,0,1,5,1,11,0,4,0,0,90.0,192.9,5,1,3,12,0,0,0.054945054945054944,0.17777777777777778,1,live,junk_domain,0,1,0,0
17,1975.0,1,64,9,6,2,101.6,1,2,2,0,6,1,47,0,2,0,0,90.0,138.1,3,1,3,12,0,0,0.140625,0.11811023622047245,0,live,junk_domain,0,0,1,0
19,1650.0,1,67,8,8,6,34.8,1,3,0,0,5,1,2,7,0,0,0,80.0,120.0,3,0,3,11,0,0,0.11940298507462685,0.3160919540229885,1,gmail,personal_domain,0,1,0,0
22,1470.0,1,133,3,7,3,24.08,1,0,0,1,6,2,12,9,1,1,0,90.0,132.2,4,1,3,15,0,0,0.022556390977443608,0.6229235880398671,1,protonmail,personal_domain,0,1,0,0
23,1775.0,1,59,2,8,8,76.13,0,3,2,1,5,3,6,9,4,0,0,80.0,145.6,5,0,3,13,16,0,0.03389830508474576,0.1707605411795613,1,verizon,professional_domain,0,1,0,0
24,1579.0,1,58,4,5,8,94.5,1,0,0,1,6,1,9,0,1,0,0,90.0,144.2,5,0,2,16,243,0,0.06896551724137931,0.1693121693121693,1,protonmail,personal_domain,0,1,0,0
25,2025.0,1,49,2,9,9,60.42,1,0,0,1,5,1,30,0,0,1,0,70.0,137.0,4,1,3,14,178,0,0.040816326530612235,0.2317113538563389,0,hotmail,junk_domain,0,0,1,0
26,2812.5,1,90,5,9,2,51.89,1,2,0,1,4,2,1,0,1,1,1,70.0,161.6,3,1,3,12,0,0,0.05555555555555555,0.2312584312969744,1,merck,professional_domain,0,1,0,0
27,1679.0,1,100,6,6,7,106.6,0,5,0,1,6,2,1,1,2,0,0,90.0,161.1,5,0,3,14,360,0,0.06,0.13133208255159476,1,gmail,personal_domain,0,1,0,0
28,1789.0,1,71,5,5,1,102.8,1,1,0,1,5,2,12,4,6,0,0,90.0,151.0,4,0,3,14,268,0,0.07042253521126761,0.13618677042801558,1,msn,junk_domain,0,1,0,0
29,1917.0,1,84,4,5,9,109.13,1,0,0,1,5,2,3,4,2,0,0,80.0,182.0,5,0,3,11,0,0,0.047619047619047616,0.1007972143315312,1,hotmail,junk_domain,0,1,0,0
30,1865.0,1,49,2,7,6,104.61,1,0,0,1,6,2,13,7,3,0,0,70.0,179.2,6,1,3,14,318,0,0.040816326530612235,0.13383041774208967,1,protonmail,personal_domain,0,0,0,1
31,1740.0,1,72,3,6,1,127.89,1,0,0,1,5,2,16,0,0,0,0,90.0,148.4,6,1,3,12,0,0,0.04166666666666666,0.09383063570255687,0,yahoo,personal_domain,0,0,0,1
32,3368.75,1,75,1,8,7,53.0,1,0,0,1,6,2,7,8,8,0,0,80.0,166.3,6,0,3,15,95,0,0.013333333333333334,0.2830188679245283,1,unitedtech,professional_domain,0,1,0,0
33,910.0,1,14,4,12,5,16.96,1,2,0,1,6,1,2,0,1,0,0,80.0,98.8,3,0,2,15,0,0,0.2857142857142857,0.8844339622641509,1,yahoo,personal_domain,0,1,0,0
35,1363.0,1,106,4,5,3,115.0,1,0,0,1,6,1,4,0,1,1,0,70.0,177.5,6,0,3,13,0,0,0.03773584905660377,0.11304347826086955,1,yahoo,personal_domain,0,1,0,0
36,3540.0,1,178,6,10,1,90.92,1,0,0,0,6,2,12,0,1,0,0,90.0,180.3,4,2,3,13,0,0,0.033707865168539325,0.14298284205895292,1,msn,junk_domain,0,1,0,0
37,995.0,1,13,8,11,1,78.92,1,1,0,1,5,1,3,0,4,0,0,90.0,91.8,3,1,2,17,0,0,0.6153846153846154,0.21540800810947794,1,yahoo,personal_domain,0,0,0,1
38,3975.0,1,114,4,8,2,140.94,1,1,0,1,5,2,35,1,5,1,0,70.0,169.4,3,1,3,11,450,0,0.03508771929824561,0.07804739605505889,0,gmail,personal_domain,0,0,0,1
40,1890.0,1,120,6,10,4,48.71,0,0,1,1,5,1,10,4,5,0,0,70.0,122.8,3,1,3,14,0,1,0.05,0.2874153151303634,1,nike,professional_domain,0,1,0,0
41,1365.0,1,42,8,7,5,68.0,1,1,0,0,5,1,2,0,0,1,1,70.0,86.4,4,0,2,17,90,0,0.19047619047619047,0.25,1,protonmail,personal_domain,0,1,0,0
42,975.0,1,14,6,11,3,59.52,1,1,0,1,6,2,9,0,9,0,0,90.0,186.4,7,0,1,16,188,0,0.42857142857142855,0.26881720430107525,1,unitedhealth,professional_domain,0,0,1,0
44,1999.0,1,127,6,6,9,41.74,1,4,0,1,6,1,23,0,2,0,0,90.0,124.1,2,0,3,14,0,0,0.047244094488188976,0.33540967896502155,0,mcdonalds,professional_domain,0,1,0,0
46,1450.0,1,56,2,5,3,89.0,1,2,1,1,6,1,24,0,2,0,0,90.0,131.4,3,0,2,16,0,0,0.03571428571428571,0.1797752808988764,0,protonmail,personal_domain,0,0,1,0
47,1655.0,1,98,3,3,3,110.52,1,3,0,0,6,1,2,4,0,0,0,70.0,170.0,4,1,3,14,0,0,0.030612244897959183,0.12667390517553384,1,yahoo,personal_domain,0,1,0,0
48,4695.0,1,94,8,10,6,76.32,1,0,0,1,6,1,21,0,5,1,0,90.0,180.0,4,1,4,11,714,0,0.0851063829787234,0.14412997903563946,0,gmail,personal_domain,0,0,0,1
51,1560.0,1,49,8,4,8,107.89,1,2,0,1,5,2,30,6,4,0,0,70.0,107.3,4,0,3,12,168,0,0.16326530612244894,0.111224395217351,0,protonmail,personal_domain,0,0,1,0
53,2012.5,1,67,1,4,8,31.0,1,2,0,1,6,2,6,9,2,0,0,80.0,130.4,2,1,2,16,0,1,0.01492537313432836,0.5161290322580645,1,mmm,professional_domain,0,1,0,0
54,2527.5,1,105,4,6,8,128.42,1,3,0,0,4,2,19,0,1,0,0,80.0,177.1,4,0,3,11,128,0,0.0380952380952381,0.08565643980688367,0,gmail,personal_domain,0,1,0,0
55,2616.25,1,64,1,7,1,49.0,1,1,0,1,6,1,17,0,0,0,0,80.0,120.0,2,0,3,15,0,0,0.015625,0.30612244897959184,0,merck,professional_domain,0,0,0,1
56,1700.0,1,38,2,6,10,133.01,1,6,0,0,6,1,8,0,5,1,0,90.0,122.0,4,1,3,13,176,0,0.05263157894736842,0.0977370122547177,1,gmail,personal_domain,0,0,0,1
57,3517.5,1,238,4,6,7,112.45,1,2,0,1,5,1,9,2,2,0,0,80.0,157.5,5,1,4,9,504,0,0.01680672268907563,0.08003557136505113,1,me,junk_domain,0,1,0,0
59,2887.5,1,54,7,6,10,38.84,1,4,0,1,5,1,12,0,0,0,0,90.0,150.1,4,1,3,13,340,0,0.12962962962962962,0.33470648815653964,1,mcdonalds,professional_domain,0,0,0,1
60,1375.0,1,72,7,4,8,119.95,1,1,1,1,6,1,9,0,0,1,0,80.0,88.9,4,0,3,12,0,0,0.09722222222222222,0.10004168403501458,1,apple,professional_domain,0,1,0,0
